# navlistener — GNF1 frame_type golden matrix (generated; do not hand-edit)
#
# The single authority for the (gnssId, sigId) -> frame_type byte carried in every GNF1
# raw-nav record (docs/CONSTELLATIONS.md §6.1). Three implementations must agree on it:
#
#   go/internal/ingest/rawframe.go   RawFrame.NavType()      <- CANONICAL, generates this file
#   feeder/navfeeder.c               frame_type()
#   esp32/components/gnf1/src/gnf1.c gnf1_frame_type()
#
# frame_type is forensic metadata, not the decode dispatch key (the collector dispatches on
# (gnssId, sigId) regardless), but the historian's provenance depends on one input population
# never being split by which feeder saw it — so all three are differentially tested against
# these rows.
#
# 0x00 means "no mapping": an unsupported, unassigned, or deliberately reserved signal. Never
# widen a row to a constellation-family default — an unverified label persists a frame that
# will be re-decoded through the wrong layout on replay.
#
# Regenerate:  UPDATE_GOLDEN=1 go test ./internal/ingest -run TestNavTypeMatchesGolden
#
# gnssId	sigId	frame_type	name
0	0	0x10	GpsLnav
0	1	0x00	-
0	2	0x00	-
0	3	0x11	GpsCnav
0	4	0x11	GpsCnav
0	5	0x00	-
0	6	0x11	GpsCnav
0	7	0x11	GpsCnav
0	8	0x00	-
0	9	0x00	-
0	10	0x00	-
0	11	0x00	-
0	12	0x00	-
0	13	0x00	-
0	14	0x00	-
0	15	0x00	-
1	0	0x70	SbasL1
1	1	0x00	-
1	2	0x00	-
1	3	0x00	-
1	4	0x00	-
1	5	0x00	-
1	6	0x00	-
1	7	0x00	-
1	8	0x00	-
1	9	0x00	-
1	10	0x00	-
1	11	0x00	-
1	12	0x00	-
1	13	0x00	-
1	14	0x00	-
1	15	0x00	-
2	0	0x20	GalInav
2	1	0x20	GalInav
2	2	0x00	-
2	3	0x21	GalFnav
2	4	0x21	GalFnav
2	5	0x20	GalInav
2	6	0x20	GalInav
2	7	0x00	-
2	8	0x00	-
2	9	0x00	-
2	10	0x00	-
2	11	0x00	-
2	12	0x00	-
2	13	0x00	-
2	14	0x00	-
2	15	0x00	-
3	0	0x30	BdsD1
3	1	0x00	-
3	2	0x00	-
3	3	0x00	-
3	4	0x00	-
3	5	0x00	-
3	6	0x00	-
3	7	0x00	-
3	8	0x33	BdsCnav2
3	9	0x00	-
3	10	0x00	-
3	11	0x00	-
3	12	0x00	-
3	13	0x00	-
3	14	0x00	-
3	15	0x00	-
4	0	0x00	-
4	1	0x00	-
4	2	0x00	-
4	3	0x00	-
4	4	0x00	-
4	5	0x00	-
4	6	0x00	-
4	7	0x00	-
4	8	0x00	-
4	9	0x00	-
4	10	0x00	-
4	11	0x00	-
4	12	0x00	-
4	13	0x00	-
4	14	0x00	-
4	15	0x00	-
5	0	0x50	QzsLnav
5	1	0x00	-
5	2	0x00	-
5	3	0x00	-
5	4	0x51	QzsCnav
5	5	0x51	QzsCnav
5	6	0x00	-
5	7	0x00	-
5	8	0x51	QzsCnav
5	9	0x51	QzsCnav
5	10	0x00	-
5	11	0x00	-
5	12	0x00	-
5	13	0x00	-
5	14	0x00	-
5	15	0x00	-
6	0	0x40	GloNav
6	1	0x00	-
6	2	0x40	GloNav
6	3	0x00	-
6	4	0x00	-
6	5	0x00	-
6	6	0x00	-
6	7	0x00	-
6	8	0x00	-
6	9	0x00	-
6	10	0x00	-
6	11	0x00	-
6	12	0x00	-
6	13	0x00	-
6	14	0x00	-
6	15	0x00	-
7	0	0x00	-
7	1	0x00	-
7	2	0x00	-
7	3	0x00	-
7	4	0x00	-
7	5	0x00	-
7	6	0x00	-
7	7	0x00	-
7	8	0x00	-
7	9	0x00	-
7	10	0x00	-
7	11	0x00	-
7	12	0x00	-
7	13	0x00	-
7	14	0x00	-
7	15	0x00	-
